,temp,dem,dem4,dem10
2017-01-01,  31.3, 402.8, 514.2, 465.8
2017-01-02,  25.4, 441.2, 421.9, 421.4
2017-01-03,  25.5, 458.5, 423.5, 432.3
2017-01-04,  27.0, 433.2, 446.9, 461.1
2017-01-05,  21.9, 401.5, 368.7, 388.5
2017-01-06,  24.3, 406.0, 404.6, 420.0
2017-01-07,  29.1, 423.6, 479.7, 460.3
2017-01-08,  25.9, 376.2, 429.6, 384.5
2017-01-09,  25.6, 430.0, 424.9, 424.3
2017-01-10,  22.4, 389.6, 374.8, 385.6
2017-01-11,  25.6, 417.9, 424.9, 439.9
2017-01-12,  27.2, 467.7, 449.9, 466.6
2017-01-13,  26.5, 471.0, 438.9, 453.0
2017-01-14,  23.0, 397.4, 384.1, 368.5
2017-01-15,  22.1, 352.2, 370.1, 327.2
2017-01-16,  24.1, 407.4, 401.3, 401.6
2017-01-17,  28.2, 449.4, 465.4, 472.6
2017-01-18,  25.5, 461.9, 423.2, 438.3
2017-01-19,  28.0, 491.3, 462.2, 478.4
2017-01-20,  28.4, 497.6, 468.5, 481.4
2017-01-21,  29.1, 470.3, 479.4, 460.1
2017-01-22,  27.8, 430.9, 459.0, 412.7
2017-01-23,  28.1, 474.5, 463.7, 461.6
2017-01-24,  26.6, 473.5, 440.2, 448.4
2017-01-25,  21.4, 416.2, 368.3, 385.5
2017-01-26,  18.6, 388.8, 368.3, 388.1
2017-01-27,  19.8, 396.0, 368.3, 385.0
2017-01-28,  24.4, 386.7, 405.8, 389.3
2017-01-29,  27.7, 389.3, 457.3, 411.1
2017-01-30,  29.7, 493.6, 488.6, 485.5
2017-01-31,  26.5, 490.2, 438.5, 446.8
2017-02-01,  24.7, 443.4, 410.4, 426.0
2017-02-02,  24.1, 436.0, 401.0, 419.5
2017-02-03,  24.7, 445.5, 410.3, 425.5
2017-02-04,  25.4, 391.5, 421.3, 404.2
2017-02-05,  19.4, 308.3, 368.1, 325.3
2017-02-06,  19.3, 350.4, 368.1, 369.6
2017-02-07,  20.0, 373.6, 368.0, 379.0
2017-02-08,  23.5, 398.5, 391.5, 407.8
2017-02-09,  25.1, 413.9, 416.5, 434.4
2017-02-10,  24.0, 408.6, 399.2, 414.8
2017-02-11,  24.0, 364.7, 399.2, 383.0
2017-02-12,  22.1, 333.5, 369.5, 326.7
2017-02-13,  22.4, 380.4, 374.2, 375.5
2017-02-14,  23.0, 401.6, 383.5, 393.9
2017-02-15,  26.3, 435.9, 435.1, 449.7
2017-02-16,  27.0, 455.1, 446.0, 462.8
2017-02-17,  26.9, 461.6, 444.4, 458.3
2017-02-18,  25.3, 398.5, 419.4, 402.4
2017-02-19,  25.9, 376.6, 428.8, 383.6
2017-02-20,  27.9, 480.8, 460.0, 458.0
2017-02-21,  29.0, 506.3, 477.2, 483.9
2017-02-22,  27.2, 489.0, 449.0, 463.1
2017-02-23,  28.6, 521.4, 470.9, 486.8
2017-02-24,  27.7, 526.3, 456.8, 470.1
2017-02-25,  28.7, 475.5, 472.4, 453.3
2017-02-26,  29.4, 437.6, 483.3, 436.1
2017-02-27,  28.8, 430.7, 473.9, 471.4
2017-02-28,  28.4, 433.6, 467.7, 474.8
2017-03-01,  29.9, 494.6, 491.1, 503.6
2017-03-02,  29.7, 511.8, 488.0, 503.1
2017-03-03,  25.4, 420.3, 420.7, 435.4
2017-03-04,  22.4, 358.0, 373.8, 358.5
2017-03-05,  20.5, 333.0, 367.5, 324.7
2017-03-06,  25.1, 410.0, 416.0, 415.7
2017-03-07,  21.5, 418.3, 367.5, 378.5
2017-03-08,  25.2, 439.8, 417.5, 432.8
2017-03-09,  24.8, 426.0, 411.2, 429.4
2017-03-10,  21.0, 385.9, 367.4, 384.2
2017-03-11,  19.4, 347.8, 367.4, 352.4
2017-03-12,  19.4, 311.4, 367.4, 324.6
2017-03-13,  20.3, 362.8, 367.4, 368.9
2017-03-14,  21.5, 386.7, 367.3, 378.3
2017-03-15,  19.6, 389.3, 367.3, 384.5
2017-03-16,  17.5, 364.9, 367.3, 387.1
2017-03-17,  17.2, 362.5, 367.3, 384.0
2017-03-18,  17.7, 333.6, 367.3, 352.2
2017-03-19,  19.7, 309.0, 367.2, 324.4
2017-03-20,  20.7, 367.3, 367.2, 368.8
2017-03-21,  22.4, 383.6, 373.5, 384.2
2017-03-22,  22.8, 389.4, 379.7, 396.4
2017-03-23,  22.5, 395.9, 375.0, 394.5
2017-03-24,  23.2, 359.5, 385.9, 401.9
2017-03-25,  24.1, 365.7, 400.0, 383.6
2017-03-26,  23.4, 338.4, 389.0, 345.3
2017-03-27,  24.8, 408.6, 410.9, 410.7
2017-03-28,  24.5, 416.7, 406.1, 415.6
2017-03-29,  23.4, 409.6, 388.9, 405.3
2017-03-30,  23.1, 401.6, 384.2, 403.4
2017-03-31,  23.8, 398.4, 395.1, 410.8
2017-04-01,  23.9, 360.8, 396.7, 380.5
2017-04-02,  21.5, 318.3, 367.0, 324.2
2017-04-03,  20.4, 362.5, 366.9, 368.5
2017-04-04,  21.2, 378.0, 366.9, 377.9
2017-04-05,  23.2, 376.2, 385.7, 402.2
2017-04-06,  18.9, 343.3, 366.9, 386.7
2017-04-07,  22.3, 370.0, 371.6, 388.1
2017-04-08,  22.9, 345.4, 380.9, 365.3
2017-04-09,  22.6, 315.2, 376.2, 333.0
2017-04-10,  17.9, 357.9, 366.8, 368.4
2017-04-11,  18.3, 360.8, 366.8, 377.7
2017-04-12,  14.8, 363.0, 375.5, 392.3
2017-04-13,  15.5, 356.2, 366.7, 386.6
2017-04-14,  17.4, 311.1, 366.7, 383.5
2017-04-15,  19.3, 321.2, 366.7, 351.6
2017-04-16,  18.0, 302.5, 366.7, 323.9
2017-04-17,  17.4, 359.0, 366.7, 368.2
2017-04-18,  16.8, 368.6, 366.6, 377.6
2017-04-19,  18.1, 371.3, 366.6, 383.8
2017-04-20,  21.3, 367.7, 366.6, 386.4
2017-04-21,  20.7, 366.3, 366.6, 383.3
2017-04-22,  14.0, 335.4, 385.2, 369.4
2017-04-23,  17.2, 307.1, 366.5, 323.7
2017-04-24,  19.6, 361.5, 366.5, 368.1
2017-04-25,  15.4, 377.9, 367.7, 378.7
2017-04-26,  13.6, 384.7, 390.1, 406.4
2017-04-27,  16.4, 383.3, 366.5, 386.3
2017-04-28,  19.7, 373.2, 366.4, 383.2
2017-04-29,  19.4, 333.2, 366.4, 351.4
2017-04-30,  20.0, 303.5, 366.4, 323.6
2017-05-01,  19.3, 293.0, 366.4, 367.9
2017-05-02,  19.9, 352.7, 366.4, 377.3
2017-05-03,  20.6, 367.2, 366.3, 383.6
2017-05-04,  20.9, 368.3, 366.3, 386.1
2017-05-05,  21.1, 371.5, 366.3, 383.1
2017-05-06,  20.2, 339.2, 366.3, 351.2
2017-05-07,  19.7, 312.3, 366.3, 323.5
2017-05-08,  18.0, 363.5, 366.2, 367.8
2017-05-09,  15.3, 374.3, 368.7, 379.6
2017-05-10,  13.6, 381.3, 389.8, 406.1
2017-05-11,  13.9, 395.6, 386.0, 405.1
2017-05-12,  15.6, 397.8, 366.2, 382.9
2017-05-13,  17.0, 354.7, 366.1, 351.1
2017-05-14,  14.5, 324.0, 378.5, 335.3
2017-05-15,  17.0, 374.6, 366.1, 367.6
2017-05-16,  15.0, 384.5, 372.3, 383.0
